user_id,email,country,status,created_at
1,user1@example.com,AT,active,2024-01-02 01:00:00
2,user2@example.com,NL,inactive,2024-01-03 02:00:00
3,user3@example.com,PL,inactive,2024-01-04 03:00:00
4,user4@example.com,AT,active,2024-01-05 04:00:00
5,user5@example.com,BE,blocked,2024-01-06 05:00:00
6,user6@example.com,DE,active,2024-01-07 06:00:00
7,user7@example.com,AT,inactive,2024-01-08 07:00:00
8,user8@example.com,PL,active,2024-01-09 08:00:00
9,user9@example.com,CZ,inactive,2024-01-10 09:00:00
10,user10@example.com,CZ,blocked,2024-01-11 10:00:00
11,user11@example.com,PL,blocked,2024-01-12 11:00:00
12,user12@example.com,BE,pending,2024-01-13 12:00:00
13,user13@example.com,DE,inactive,2024-01-14 13:00:00
14,user14@example.com,IT,pending,2024-01-15 14:00:00
15,user15@example.com,NL,inactive,2024-01-16 15:00:00
16,user16@example.com,PL,pending,2024-01-17 16:00:00
17,user17@example.com,AT,active,2024-01-18 17:00:00
18,user18@example.com,IT,active,2024-01-19 18:00:00
19,user19@example.com,FR,pending,2024-01-20 19:00:00
20,user20@example.com,BE,pending,2024-01-21 20:00:00
21,user21@example.com,DE,blocked,2024-01-22 21:00:00
22,user22@example.com,CZ,active,2024-01-23 22:00:00
23,user23@example.com,IT,active,2024-01-24 23:00:00
24,user24@example.com,CZ,pending,2024-01-25 00:00:00
25,user25@example.com,BE,pending,2024-01-26 01:00:00
26,user26@example.com,BE,inactive,2024-01-27 02:00:00
27,user27@example.com,AT,active,2024-01-28 03:00:00
28,user28@example.com,PL,pending,2024-01-29 04:00:00
29,user29@example.com,AT,inactive,2024-01-30 05:00:00
30,user30@example.com,AT,blocked,2024-01-31 06:00:00
31,user31@example.com,NL,blocked,2024-02-01 07:00:00
32,user32@example.com,FR,inactive,2024-02-02 08:00:00
33,user33@example.com,FR,pending,2024-02-03 09:00:00
34,user34@example.com,PL,pending,2024-02-04 10:00:00
35,user35@example.com,AT,inactive,2024-02-05 11:00:00
36,user36@example.com,CZ,inactive,2024-02-06 12:00:00
37,user37@example.com,CH,blocked,2024-02-07 13:00:00
38,user38@example.com,IT,pending,2024-02-08 14:00:00
39,user39@example.com,CZ,inactive,2024-02-09 15:00:00
40,user40@example.com,FR,active,2024-02-10 16:00:00
41,user41@example.com,PL,active,2024-02-11 17:00:00
42,user42@example.com,FR,blocked,2024-02-12 18:00:00
43,user43@example.com,NL,active,2024-02-13 19:00:00
44,user44@example.com,PL,pending,2024-02-14 20:00:00
45,user45@example.com,PL,blocked,2024-02-15 21:00:00
46,user46@example.com,IT,blocked,2024-02-16 22:00:00
47,user47@example.com,CH,pending,2024-02-17 23:00:00
48,user48@example.com,CH,inactive,2024-02-18 00:00:00
49,user49@example.com,CZ,pending,2024-02-19 01:00:00
50,user50@example.com,BE,blocked,2024-02-20 02:00:00
51,user51@example.com,BE,blocked,2024-02-21 03:00:00
52,user52@example.com,FR,inactive,2024-02-22 04:00:00
53,user53@example.com,CH,blocked,2024-02-23 05:00:00
54,user54@example.com,AT,active,2024-02-24 06:00:00
55,user55@example.com,AT,inactive,2024-02-25 07:00:00
56,user56@example.com,CH,blocked,2024-02-26 08:00:00
57,user57@example.com,BE,active,2024-02-27 09:00:00
58,user58@example.com,IT,blocked,2024-02-28 10:00:00
59,user59@example.com,BE,blocked,2024-02-29 11:00:00
60,user60@example.com,CZ,pending,2024-03-01 12:00:00
61,user61@example.com,CZ,active,2024-03-02 13:00:00
62,user62@example.com,AT,pending,2024-03-03 14:00:00
63,user63@example.com,FR,active,2024-03-04 15:00:00
64,user64@example.com,NL,blocked,2024-03-05 16:00:00
65,user65@example.com,CH,blocked,2024-03-06 17:00:00
66,user66@example.com,DE,pending,2024-03-07 18:00:00
67,user67@example.com,CZ,inactive,2024-03-08 19:00:00
68,user68@example.com,CZ,active,2024-03-09 20:00:00
69,user69@example.com,NL,inactive,2024-03-10 21:00:00
70,user70@example.com,CH,pending,2024-03-11 22:00:00
71,user71@example.com,CH,active,2024-03-12 23:00:00
72,user72@example.com,BE,pending,2024-03-13 00:00:00
73,user73@example.com,ES,active,2024-03-14 01:00:00
74,user74@example.com,AT,pending,2024-03-15 02:00:00
75,user75@example.com,NL,inactive,2024-03-16 03:00:00
76,user76@example.com,DE,inactive,2024-03-17 04:00:00
77,user77@example.com,BE,active,2024-03-18 05:00:00
78,user78@example.com,AT,blocked,2024-03-19 06:00:00
79,user79@example.com,AT,inactive,2024-03-20 07:00:00
80,user80@example.com,CH,blocked,2024-03-21 08:00:00
1,duplicate.user1@example.com,DE,active,2024-06-15 10:00:00
9999,,PL,pending,2024-07-01 12:00:00
